id,title,country,region,winery,variety,vintage,description,points,price,alcohol,acidity,body,tannins,sweetness,style,image_url,mood_tags,food_pairing,tasting_notes,winery_history
35,"Marlborough Pinot Noir 2020",New Zealand,Marlborough,Cloudy Bay,Pinot Noir,2020,"Cool climate New Zealand Pinot Noir with bright fruit and elegant structure",88,32.00,13.0,High,Medium,Low,Dry,Red,"https://images.unsplash.com/photo-1586370434639-0fe43b2d32d6?w=300&h=400&fit=crop","salmon dishes duck mushroom cuisine","Grilled salmon roasted duck mushroom dishes lamb","Ruby red with aromas of cherry strawberry and spice. Medium-bodied with silky tannins and bright acidity.","Marlborough's cool climate and diverse soils create ideal conditions for elegant Pinot Noir with bright fruit character."
36,"Albariño Rías Baixas 2021",Spain,Galicia,Martín Códax,Albariño,2021,"Atlantic Spanish white wine with mineral salinity perfect for seafood pairing",86,24.00,12.5,High,Light,Low,Dry,White,"https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=300&h=400&fit=crop","seafood Spanish cuisine summer hot day","Fresh seafood pulpo a la gallega Spanish tapas shellfish","Pale straw with aromas of citrus stone fruits and sea spray. Crisp palate with mineral salinity and clean finish.","Rías Baixas coastal region has produced distinctive Albariño since the 12th century with unique Atlantic influence and granite soils."
37,"Côte-Rôtie 2017",France,Northern Rhône,E. Guigal,Syrah Viognier,2017,"Prestigious Northern Rhône wine from steep terraced vineyards with co-fermented Viognier",95,95.00,13.0,Medium+,Full,High,Dry,Red,"https://images.unsplash.com/photo-1547595628-c61a29f496f0?w=300&h=400&fit=crop","special occasion fine dining game meats","Wild game aged cheeses roasted lamb chocolate","Deep purple with complex aromas of violet bacon and spice. Full-bodied with elegant tannins and extraordinary length.","Côte-Rôtie's steep terraced vineyards have produced exceptional Syrah since Roman times with unique practice of co-fermenting with Viognier."
38,"Finger Lakes Riesling 2021",United States,New York,Dr. Konstantin Frank,Riesling,2021,"Cool climate American Riesling with mineral precision from glacial lake terroir",87,28.00,11.5,High,Light,Low,Off-Dry,White,"https://images.unsplash.com/photo-1553361371-9b22f78e8b1d?w=300&h=400&fit=crop","spicy food Asian cuisine light dishes","Spicy Asian food fresh fish apple desserts soft cheeses","Pale straw with aromas of lime white peach and slate. Light palate with balancing sweetness and mineral finish.","Dr. Konstantin Frank pioneered vinifera grape growing in the Finger Lakes proving that European varieties could thrive in New York."
39,"Montepulciano d'Abruzzo 2020",Italy,Abruzzo,Masciarelli,Montepulciano,2020,"Robust Italian red wine from the Adriatic coast with great value and food-friendly character",85,16.00,13.5,Medium,Medium,Medium,Dry,Red,"https://images.unsplash.com/photo-1554479896-6d83067ac24b?w=300&h=400&fit=crop","Italian cuisine pasta pizza casual dining","Pasta with red sauce pizza Italian meats aged cheeses","Deep red with aromas of cherry plum and herbs. Medium-bodied with soft tannins and food-friendly character.","Abruzzo has produced honest food-friendly wines for centuries with Montepulciano grape perfectly adapted to the regional terroir."
40,"Crémant de Loire 2019",France,Loire Valley,Bouvet-Ladubay,Chenin Blanc Chardonnay,2019,"Traditional method French sparkling wine with elegant bubbles and great value",86,25.00,12.0,High,Light,Low,Dry,Sparkling,"https://images.unsplash.com/photo-1547595628-c61a29f496f0?w=300&h=400&fit=crop","celebration aperitif light dishes party","Aperitifs light appetizers seafood soft cheeses","Pale gold with fine persistent bubbles. Fresh aromas of apple pear and brioche with crisp clean finish.","The Loire Valley has produced sparkling wines since the 19th century using traditional Champagne methods with local grape varieties."
41,"Margaret River Cabernet Sauvignon 2018",Australia,Western Australia,Leeuwin Estate,Cabernet Sauvignon,2018,"Premium Australian Cabernet from maritime climate region with Bordeaux-like elegance",92,55.00,14.0,Medium+,Full,High,Dry,Red,"https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=300&h=400&fit=crop","fine dining red meat Australian cuisine","Grilled lamb kangaroo aged cheeses game meats","Deep purple with aromas of blackcurrant cedar and mint. Full-bodied with structured tannins and long finish.","Margaret River's maritime climate and gravelly soils create ideal conditions for Bordeaux varieties with exceptional elegance."
42,"Vouvray Sec 2021",France,Loire Valley,Huet,Chenin Blanc,2021,"Dry Loire Valley Chenin Blanc with mineral complexity and excellent aging potential",89,32.00,12.5,High,Medium,Low,Dry,White,"https://images.unsplash.com/photo-1547595628-c61a29f496f0?w=300&h=400&fit=crop","fine dining seafood poultry dishes","Fresh fish roasted chicken creamy sauces aged cheeses","Pale gold with complex aromas of quince honey and minerals. Medium-bodied with excellent acidity and long finish.","Vouvray has produced exceptional Chenin Blanc since the 4th century with unique tuffeau limestone soils creating mineral complexity."
43,"Priorat 2018",Spain,Catalonia,Clos Mogador,Grenache Carignan,2018,"Powerful Spanish red from slate terroir with intense concentration and mineral character",94,75.00,14.5,Medium+,Full,High,Dry,Red,"https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=300&h=400&fit=crop","special occasion grilled meats Spanish cuisine","Grilled beef lamb chops aged Manchego spicy dishes","Deep purple with intense aromas of black fruits slate and herbs. Powerful palate with mineral tannins and long finish.","Priorat's unique slate soils called llicorella create wines of extraordinary concentration and mineral character from old vine Grenache."
44,"Alsace Pinot Gris 2020",France,Alsace,Domaine Zind-Humbrecht,Pinot Gris,2020,"Rich Alsatian white wine with spicy character and excellent food pairing versatility",90,38.00,13.5,Medium,Medium,Low,Dry,White,"https://images.unsplash.com/photo-1547595628-c61a29f496f0?w=300&h=400&fit=crop","rich dishes pork spicy cuisine","Pork dishes foie gras spicy Asian food aged cheeses","Golden color with aromas of pear spice and smoke. Rich palate with good acidity and complex spicy finish.","Alsace has produced distinctive varietal wines since the 16th century with unique continental climate and diverse geological soils."
45,"Etna Rosso 2019",Italy,Sicily,Tenuta delle Terre Nere,Nerello Mascalese,2019,"Volcanic Sicilian red wine with unique terroir and elegant mineral character",91,42.00,13.0,High,Medium,Medium,Dry,Red,"https://images.unsplash.com/photo-1554479896-6d83067ac24b?w=300&h=400&fit=crop","Mediterranean cuisine fish dishes Italian","Grilled fish Mediterranean herbs pasta with vegetables","Ruby red with aromas of red cherry herbs and volcanic minerals. Medium-bodied with bright acidity and mineral finish.","Mount Etna's volcanic soils create unique terroir for indigenous Sicilian grapes with wines showing remarkable mineral character."
46,"Condrieu 2020",France,Northern Rhône,M. Chapoutier,Viognier,2020,"Rare Northern Rhône white wine made exclusively from Viognier with apricot richness",93,68.00,13.5,Medium,Full,Low,Dry,White,"https://images.unsplash.com/photo-1547595628-c61a29f496f0?w=300&h=400&fit=crop","special occasion rich dishes fine dining","Lobster rich fish dishes foie gras aged cheeses","Golden color with intense aromas of apricot peach and flowers. Full-bodied with rich texture and long aromatic finish.","Condrieu nearly disappeared in the 1960s but was revived by passionate vignerons who recognized Viognier's unique potential on granite terraces."
47,"Hunter Valley Semillon 2018",Australia,New South Wales,Tyrrell's,Semillon,2018,"Unique Australian white wine that develops complexity with age from historic wine region",88,28.00,10.5,High,Light,Low,Dry,White,"https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=300&h=400&fit=crop","seafood Asian cuisine light dishes","Fresh fish Asian dishes goat cheese light salads","Pale straw developing golden color with aromas of citrus grass and honey. Light palate with crisp acidity and mineral finish.","Hunter Valley Semillon is Australia's unique gift to wine with ability to age gracefully developing toast and honey complexity."
48,"Taurasi 2017",Italy,Campania,Mastroberardino,Aglianico,2017,"Noble Southern Italian red wine known as the Barolo of the South with aging potential",92,48.00,13.5,High,Full,High,Dry,Red,"https://images.unsplash.com/photo-1554479896-6d83067ac24b?w=300&h=400&fit=crop","hearty dishes game meats Italian cuisine","Wild boar aged cheeses pasta with meat sauce","Deep ruby with complex aromas of dark fruits tar and spice. Full-bodied with firm tannins and excellent aging potential.","Mastroberardino has preserved ancient Aglianico vines in Campania creating wines that showcase this noble grape's potential."
49,"Santorini Assyrtiko 2021",Greece,Cyclades,Domaine Sigalas,Assyrtiko,2021,"Unique Greek white wine from volcanic island with intense minerality and salinity",89,35.00,13.5,High,Medium,Low,Dry,White,"https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=300&h=400&fit=crop","seafood Greek cuisine Mediterranean","Fresh seafood Greek salads feta cheese grilled fish","Pale gold with intense aromas of citrus minerals and sea breeze. Crisp palate with volcanic minerality and saline finish.","Santorini's ancient vines grow in volcanic ash creating wines of unique mineral character shaped by Mediterranean sun and sea."
